name,module,custom,issingle,istable,is_submittable,autoname,naming_rule,title_field,search_fields,sort_field,sort_order,quick_entry,allow_rename,allow_copy,allow_import,allow_guest_to_view,restrict_to_domain,editable_grid,track_changes,read_only,in_create,is_tree,show_name_in_global_search,beta,modified
Subcontracting Inward Order,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",customer_name,"status, transaction_date, customer",creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-12-09 15:52:55.781346
Subcontracting Inward Order Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-10-18 18:04:04.204651
Subcontracting Inward Order Received Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-11-03 17:46:49.905804
Subcontracting Inward Order Scrap Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-10-14 10:28:30.192350
Subcontracting Inward Order Service Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-09-05 13:33:49.154869
Subcontracting Order,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",supplier_name,"status, transaction_date, supplier",creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-11-14 10:31:40.682892
Subcontracting Order Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-11-03 12:29:45.156101
Subcontracting Order Service Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-11-13 16:04:45.020225
Subcontracting Order Supplied Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-10-30 16:00:43.379828
Subcontracting Receipt,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,"status, posting_date, supplier",creation,DESC,0,0,0,0,0,,1,1,0,1,0,1,0,2025-10-08 21:43:27.065640
Subcontracting Receipt Item,Subcontracting,0,0,1,0,hash,Random,,,modified,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-09-26 12:00:38.877638
Subcontracting Receipt Supplied Item,Subcontracting,0,0,1,0,,Autoincrement,,,modified,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-05-27 12:33:58.772638
Submission Queue,Core,0,0,0,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,1,2024-03-23 16:03:39.111282
Subscription,Accounts,0,0,0,0,ACC-SUB-.YYYY.-.#####,Expression (old style),,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-12-23 19:42:52.036034
Subscription Invoice,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:47.880704
Subscription Plan,Accounts,0,0,0,0,field:plan_name,By fieldname,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:47.998597
Subscription Plan Detail,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.168122
Subscription Settings,Accounts,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-02 18:18:34.671062
Success Action,Core,0,0,0,0,field:ref_doctype,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:39.228220
Supplier,Buying,0,0,0,0,naming_series:,"By ""Naming Series"" field",supplier_name,supplier_group,creation,ASC,1,1,0,1,0,,0,1,0,0,0,1,0,2026-02-06 12:58:01.398824
Supplier Group,Setup,0,0,0,0,field:supplier_group_name,By fieldname,,,creation,ASC,0,1,0,1,0,,0,0,0,0,1,1,0,2025-12-02 13:57:57.814686
Supplier Group Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.895401
Supplier Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.995425
Supplier Number At Customer,Selling,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-04-27 12:00:04.890068
Supplier Quotation,Buying,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,"status, transaction_date, supplier,grand_total",creation,DESC,0,0,0,1,0,,0,0,0,0,0,1,0,2026-01-29 21:23:13.778468
Supplier Quotation Item,Buying,0,0,1,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-06-17 12:05:52.441645
Supplier Scorecard,Buying,0,0,0,0,field:supplier,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:49.727302
Supplier Scorecard Criteria,Buying,0,0,0,0,field:criteria_name,By fieldname,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:49.920492
Supplier Scorecard Period,Buying,0,0,0,1,naming_series:,,,,creation,DESC,0,0,0,0,0,,1,0,0,1,0,0,0,2024-03-27 13:10:50.051033
Supplier Scorecard Scoring Criteria,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.201230
Supplier Scorecard Scoring Standing,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.322056
Supplier Scorecard Scoring Variable,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.456611
Supplier Scorecard Standing,Buying,0,0,0,0,field:standing_name,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:50.574065
Supplier Scorecard Variable,Buying,0,0,0,0,field:variable_label,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.711158
Support Search Source,Support,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.849602
Support Settings,Support,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-02 18:18:11.475222
System Console,Desk,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-05-28 09:26:57.614890
System Health Report,Desk,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,1,2024-05-02 13:32:16.495750
System Health Report Errors,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 17:10:43.199907
System Health Report Failing Jobs,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-22 11:46:53.574720
System Health Report Queue,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 15:47:47.592170
System Health Report Tables,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-04-19 15:46:57.993123
System Health Report Workers,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2024-04-19 15:44:52.298443
System Settings,Core,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,0,1,0,0,0,0,0,2026-01-02 18:13:45.430712
Tag,Desk,0,0,0,0,Prompt,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2024-03-23 16:03:39.682626
Tag Link,Desk,0,0,0,0,,,,,creation,DESC,0,0,0,0,0,,1,0,1,0,0,0,0,2025-02-04 12:02:03.779623
Target Detail,Setup,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:51.347225
Task,Projects,0,0,0,0,TASK-.YYYY.-.#####,Expression (old style),subject,subject,creation,DESC,1,0,0,1,0,,0,0,0,0,1,1,0,2025-10-16 08:39:12.214577
Task Depends On,Projects,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:51.702279
Task Type,Projects,0,0,0,0,Prompt,Set by user,,,creation,ASC,1,0,0,0,0,,0,1,0,0,0,0,0,2024-03-27 13:10:51.823692
Tax Category,Accounts,0,0,0,0,field:title,By fieldname,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:51.976600
Tax Rule,Accounts,0,0,0,0,ACC-TAX-RULE-.YYYY.-.#####,,,,creation,DESC,0,1,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:10:52.121252
Tax Withholding Account,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-04-30 10:26:48.218294
Tax Withholding Category,Accounts,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,1,0,1,0,,1,1,0,0,0,0,0,2025-07-30 07:13:51.785735
Tax Withholding Entry,Accounts,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-12-22 09:07:26.701207
Tax Withholding Group,Accounts,0,0,0,0,field:group_name,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-06-29 05:25:50.243710
Tax Withholding Rate,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-06-29 05:31:05.120377
Telephony Call Type,Telephony,0,0,0,1,field:call_type,By fieldname,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:52.942655
Terms and Conditions,Setup,0,0,0,0,field:title,By fieldname,,,creation,ASC,1,1,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:10:53.065872
Territory,Setup,0,0,0,0,field:territory_name,By fieldname,,"parent_territory,territory_manager",creation,DESC,0,1,0,1,0,,0,0,0,0,1,1,0,2025-12-02 13:58:55.190485
Territory Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:53.433659
Timesheet,Projects,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,,creation,ASC,0,0,0,1,0,,1,0,0,0,0,0,0,2025-12-19 13:48:23.453636
Timesheet Detail,Projects,0,0,1,0,,,,,creation,ASC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:53.799414
ToDo,Desk,0,0,0,0,hash,,description,"description, reference_type, reference_name",creation,DESC,1,0,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:03:58.758787
Token Cache,Integrations,0,0,0,0,format:{connected_app}-{user},Expression,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,1,2024-03-23 16:03:58.980060
Top Bar Item,Website,0,0,1,0,,,,,creation,ASC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:03:59.197387
Transaction Deletion Record,Setup,0,0,0,1,TDL.####,Expression (old style),,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-11-18 15:02:46.427695
Transaction Deletion Record Details,Accounts,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-11-14 16:17:25.584675
Transaction Deletion Record Item,Setup,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-11-14 16:17:47.755531
Transaction Deletion Record To Delete,Setup,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-11-14 16:17:04.494126
Translation,Core,0,0,0,0,hash,Random,source_text,,creation,DESC,0,0,0,1,0,,0,1,0,0,0,0,0,2024-03-23 16:03:59.551788
UAE VAT Account,Regional,0,0,1,0,account,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:55.699335
UAE VAT Settings,Regional,0,0,0,0,field:company,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:55.812173
Unhandled Email,Email,0,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,1,0,0,0,2024-03-23 16:03:59.723830
Unreconcile Payment,Accounts,0,0,0,1,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-10-10 12:03:50.022444
Unreconcile Payment Entries,Accounts,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:57.224053
UOM,Setup,0,0,0,0,field:uom_name,By fieldname,,,creation,ASC,1,1,0,1,0,,0,0,0,0,0,1,0,2025-08-21 18:59:27.900209
UOM Category,Stock,0,0,0,0,field:category_name,,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:57.525335
UOM Conversion Detail,Stock,0,0,1,0,hash,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-11-19 21:27:13.968771
UOM Conversion Factor,Setup,0,0,0,0,MAT-UOM-CNV-.#####,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:57.756872
User,Core,0,0,0,0,,,full_name,full_name,creation,DESC,1,1,0,1,0,,0,1,0,0,0,1,0,2026-01-12 16:04:21.542524
User Document Type,Core,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-07-12 17:32:15.721862
User Email,Core,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:00.460634
User Group,Core,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:00.597980
User Group Member,Core,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:00.733681
User Invitation,Core,0,0,0,0,,,,,creation,DESC,1,1,0,0,0,,0,0,0,0,0,0,0,2025-07-26 11:52:46.984800
User Permission,Core,0,0,0,0,,,user,,creation,DESC,0,0,0,1,0,,1,1,0,0,0,0,0,2025-12-01 06:55:21.174845
User Role,Core,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-07-17 10:56:36.357715
User Role Profile,Core,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:00.948988
User Select Document Type,Core,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:01.071552
User Session Display,Core,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-09-10 11:43:47.325045
User Social Login,Core,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:01.200476
User Type,Core,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:01.336002
User Type Module,Core,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:01.539682
UTM Campaign,Website,0,0,0,0,prompt,Set by user,,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2024-06-28 15:05:14.714600
UTM Medium,Website,0,0,0,0,prompt,Set by user,,,modified,DESC,1,1,0,0,0,,0,0,0,0,0,0,0,2024-06-28 15:04:51.679189
UTM Source,Website,0,0,0,0,prompt,Set by user,,,modified,DESC,1,1,0,0,0,,0,0,0,0,0,0,0,2024-06-28 15:04:59.643513
Variant Field,Stock,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:58.011300
Vehicle,Setup,0,0,0,0,field:license_plate,By fieldname,,"license_plate,location,model",modified,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2025-01-24 06:22:33.129805
Version,Core,0,0,0,0,hash,Random,docname,,creation,DESC,1,0,0,0,0,,0,1,0,1,0,0,0,2025-02-20 19:20:33.616072
Video,Utilities,0,0,0,0,field:title,,,,creation,DESC,0,1,0,1,0,,1,1,0,0,0,0,0,2024-03-27 13:10:58.743905
Video Settings,Utilities,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:58.942609
View Log,Core,0,0,0,0,,,,,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-02-20 19:21:33.012224
Voice Call Settings,Telephony,0,0,0,0,field:user,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:59.080888
Warehouse,Stock,0,0,0,0,,,,,creation,DESC,0,0,0,1,0,,0,1,0,0,1,1,0,2025-09-05 14:47:17.140099
Warehouse Type,Stock,0,0,0,0,Prompt,,,,creation,ASC,1,0,0,0,0,,0,1,0,0,0,0,0,2024-03-27 13:10:59.427114
Warranty Claim,Support,0,0,0,0,naming_series:,"By ""Naming Series"" field",customer_name,"status,customer,customer_name,territory",creation,DESC,0,0,0,1,0,,0,0,0,0,0,1,0,2024-03-27 13:10:59.601423
Web Form,Website,0,0,0,0,,,title,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2025-12-12 16:29:35.806107
Web Form Field,Website,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-10-13 16:53:27.147994
Web Form List Column,Website,0,0,1,0,autoincrement,Autoincrement,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-09-24 22:28:54.931089
Web Page,Website,0,0,0,0,,,title,title,creation,DESC,0,0,0,1,1,,0,1,0,0,0,1,0,2024-04-12 10:30:49.022735
Web Page Block,Website,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:02.614392
Web Page View,Website,0,0,0,0,,,path,,creation,DESC,1,0,0,1,0,,1,0,1,1,0,0,0,2025-02-20 19:20:47.267461
Web Template,Website,0,0,0,0,Prompt,Set by user,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:02.852688
Web Template Field,Website,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:02.982364
Webhook,Integrations,0,0,0,0,prompt,Set by user,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-07-18 18:22:38.276809
Webhook Data,Integrations,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:03.331064
Webhook Header,Integrations,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:03.419176
Webhook Request Log,Integrations,0,0,0,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,1,0,0,0,2025-02-25 15:16:24.028963
Website Attribute,Portal,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:59.786446
Website Filter Field,Portal,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:59.895736
Website Item Group,Setup,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:11:00.011403
Website Meta Tag,Website,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:03.618341
Website Route Meta,Website,0,0,0,0,Prompt,,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:03.714438
Website Route Redirect,Website,0,0,1,0,,,,,creation,ASC,1,0,0,0,0,,0,0,0,0,0,0,0,2025-10-06 11:45:35.866316
Website Script,Website,0,1,0,0,,,,,creation,ASC,0,0,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:04:03.907275
Website Settings,Website,0,1,0,0,,,,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:04:03.999928
Website Sidebar,Website,0,0,0,0,field:title,,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:04.210555
Website Sidebar Item,Website,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:04.319910
Website Slideshow,Website,0,0,0,0,field:slideshow_name,,,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:04:04.409255
Website Slideshow Item,Website,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:04.516513
Website Theme,Website,0,0,0,0,field:theme,By fieldname,,,creation,DESC,0,0,0,1,0,,0,1,0,0,0,0,0,2024-03-23 16:04:04.610086
Website Theme Ignore App,Website,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:04.760483
Work Order,Manufacturing,0,0,0,1,naming_series:,"By ""Naming Series"" field",production_item,,creation,ASC,0,0,0,1,0,,0,1,0,0,0,0,0,2025-10-12 14:24:57.699749
Work Order Item,Manufacturing,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-12-02 11:16:05.081613
Work Order Operation,Manufacturing,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-05-15 15:10:06.885440
Workflow,Workflow,0,0,0,0,field:workflow_name,,,,creation,DESC,0,1,0,0,0,,0,1,0,0,0,1,0,2024-03-23 16:04:04.849665
Workflow Action,Workflow,0,0,0,0,,,reference_name,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:04.989036
Workflow Action Master,Workflow,0,0,0,0,field:workflow_action_name,,,,creation,DESC,1,1,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:04:05.108415
Workflow Action Permitted Role,Workflow,0,0,1,0,hash,Random,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:05.199852
Workflow Document State,Workflow,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-11-08 10:16:23.592473
Workflow State,Workflow,0,0,0,0,field:workflow_state_name,By fieldname,,,creation,DESC,1,0,0,1,0,,0,1,0,0,0,1,0,2024-03-23 16:04:05.395556
Workflow Transition,Workflow,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-07-04 15:56:34.345888
Workflow Transition Task,Workflow,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-07-14 12:13:18.108225
Workflow Transition Tasks,Workflow,0,0,0,0,prompt,Set by user,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-07-08 12:23:01.908648
Workspace,Desk,0,0,0,0,field:label,By fieldname,,,creation,DESC,0,1,0,0,0,,1,1,0,1,0,0,1,2024-09-26 15:47:24.710881
Workspace Chart,Desk,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:05.810019
Workspace Custom Block,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:05.916601
Workspace Link,Desk,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-06-10 16:04:00.746903
Workspace Number Card,Desk,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:04:06.156245
Workspace Quick List,Desk,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:04:06.260947
Workspace Shortcut,Desk,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-03-27 20:23:13.192488
Workspace Sidebar,Desk,0,0,0,0,field:title,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2026-02-02 12:35:38.009501
Workspace Sidebar Item,Desk,0,0,1,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2026-01-12 15:35:56.930873
Workstation,Manufacturing,0,0,0,0,field:workstation_name,By fieldname,,,creation,ASC,1,1,0,1,0,,0,1,0,0,0,1,0,2025-08-19 12:07:05.374386
Workstation Cost,Manufacturing,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-08-17 19:21:02.725365
Workstation Operating Component,Manufacturing,0,0,0,0,field:component_name,By fieldname,,,creation,DESC,0,1,0,0,0,,0,0,0,0,0,0,0,2025-08-17 19:23:47.510540
Workstation Operating Component Account,Manufacturing,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-08-17 19:24:01.487406
Workstation Type,Manufacturing,0,0,0,0,field:workstation_type,By fieldname,,,creation,ASC,1,1,0,1,0,,0,1,0,0,0,1,0,2025-08-19 12:06:56.683558
Workstation Working Hour,Manufacturing,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:11:01.081988
YAM Crop Variety,YAM Agri Core,1,0,0,0,field:variety_name,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:03:42.778049
YAM Crop Variety Recommendation,YAM Agri Core,1,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:03:42.859245
YAM Plot,YAM Agri Core,1,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:03:42.945822
YAM Plot Yield,YAM Agri Core,1,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:03:43.010384
YAM Soil Test,YAM Agri Core,1,0,0,0,,,,,creation,DESC,0,0,0,0,0,,0,0,0,0,0,0,0,2026-02-22 16:03:43.080245
